regionID,solarSystemID,solarSystemName,x,y,z,security,,,
10000016,30001377,Sarekuwa,-147,74.8,118.00,0.936502,,,
10000037,30003033,Ethernity,-182,28.4,29.60,0.935634,,,
10000030,30032547,Larkugei,-93.5,41.5,43.50,0.932643,,,
10000065,30005037,Mora,-259,43,-101.00,0.932524,,,
10000020,30001725,Nosodnis,-228,73.6,-134.00,0.929034,,,
10000042,30033410,Erego,-68.9,38.7,41.10,0.928317,,,
10000020,30001722,Marthia,-222,72.7,-124.00,0.925733,,,
10000064,30004972,Algogille,-199,41,33.60,0.925366,,,
10000002,30030141,Uitra,-126,64.8,99.30,0.924096,,,
10000068,30005302,Alenia,-233,27.9,28.20,0.923913,,,
10000042,30003376,Stirht,-78.4,44.7,12.60,0.922674,,,
10000032,30032715,Olelon,-177,43.5,37.60,0.920964,,,
10000033,30041392,Laah,-142,106,134.00,0.919513,,,
10000033,30002763,Tennen,-185,54.9,55.10,0.91903,,,
10000043,30003549,Lashkai,-156,74.4,-81.20,0.917045,,,
10000043,30002193,Kehour,-211,29.5,-51.30,0.916477,,,
10000043,30043489,Horir,-189,57.3,-51.20,0.915999,,,
10000033,30002761,Kassigainen,-196,47.4,47.30,0.915852,,,
10000030,30002569,Osaumuni,-94.5,41.5,41.50,0.914868,,,
10000032,30042715,Trossere,-171,40.6,23.60,0.91441,,,
10000020,30021672,Pasha,-227,60.7,-139.00,0.914349,,,
10000043,30013489,Deepari,-185,56.7,-48.50,0.914173,,,
10000065,30005038,Kor-Azor Prime,-267,26.9,-93.10,0.913908,,,
10000042,30003377,Illuin,-76,38.9,21.50,0.91335,,,
10000049,30003860,Kihtaled,-269,47.9,-142.00,0.913252,,,
10000043,30023489,Fora,-192,49,-62.90,0.91288,,,
10000002,30000140,Maurasi,-126,58.5,110.00,0.912748,,,
10000002,30000132,Ansila,-142,55.4,109.00,0.912017,,,
10000042,30003397,Bongveber,-88.4,39.2,67.60,0.911898,,,
10000043,30002281,Eba,-195,49,-65.90,0.911785,,,
10000030,30022547,Krilmokenur,-101,42.6,44.70,0.911701,,,
10000020,30001734,Zehru,-214,59.6,-134.00,0.911673,,,
10000068,30005301,Tourier,-240,30.9,29.30,0.911134,,,
10000020,30001724,Rumida,-229,74.2,-131.00,0.910481,,,
10000042,30003379,Aldilur,-73,40,16.40,0.909469,,,
10000043,30003491,Ashab,-196,54.5,-55.10,0.90946,,,
10000052,30004102,Inis-Ilix,-257,44.8,-117.00,0.909281,,,
10000043,30033489,Hanan,-175,84.7,-80.20,0.907532,,,
10000043,30003487,Arbaz,-182,56.7,-47.50,0.907379,,,
10000042,30003403,Meimungen,-69.9,38.7,44.10,0.907195,,,
10000002,30020141,Senda,-125,71.9,92.60,0.906628,,,
10000001,30000007,Yuzier,-90.4,53.4,-49.00,0.906556,,,
10000032,30002711,Stetille,-174,43.5,35.60,0.906329,,,
10000065,30045042,Conoban,-262,43,-97.90,0.905249,,,
10000042,30003395,Roleinn,-105,36.8,59.10,0.9051,,,
10000043,30003550,Zhilshinou,-158,73.3,-74.20,0.90387,,,
10000032,30002731,Vittenyn,-168,40.6,22.60,0.90355,,,
10000032,30002717,Aymaerne,-163,46.9,30.40,0.902979,,,
10000064,30014971,Couster,-202,41,31.60,0.902461,,,
10000032,30022715,Oirtlair,-173,37.5,34.00,0.901727,,,
10000049,30003858,Gousoviba,-261,46.8,-140.00,0.901234,,,
10000043,30003552,Ana,-162,73.5,-71.50,0.900474,,,
10000068,30025305,Channace,-243,30.9,31.30,0.899808,,,
10000049,30003861,Ipref,-272,45.1,-135.00,0.899686,,,
10000064,30004970,Renyn,-202,43.7,28.60,0.898199,,,
10000049,30003863,Khanid Prime,-270,49.6,-147.00,0.897374,,,
10000030,30002571,Oremmulf,-93,46,38.90,0.897107,,,
10000043,30002196,Ebidan,-207,40.2,-73.10,0.896038,,,
10000030,30002510,Rens,-99.1,40.3,-2.87,0.894582,,,
10000043,30002188,Boranai,-217,31.8,-62.40,0.893772,,,
10000033,30002816,Saila,-145,106,131.00,0.893457,,,
10000032,30002656,Auvergne,-186,49.3,23.70,0.892461,,,
10000068,30005316,Luse,-253,44.6,41.70,0.892424,,,
10000020,30001674,Hilaban,-226,60.7,-142.00,0.891444,,,
10000042,30003401,Egbonbet,-80.6,35.6,33.50,0.891302,,,
10000042,30003407,Tamekamur,-81.1,34.6,40.80,0.890739,,,
10000064,30004969,Oursulaert,-197,42.3,22.10,0.890615,,,
10000032,30002707,Unel,-181,47.5,50.10,0.890515,,,
10000042,30003375,Brundakur,-71.6,42.1,5.72,0.890508,,,
10000016,30011392,Jouvulen,-149,101,129.00,0.889763,,,
10000042,30003412,Elgoi,-54.6,50,39.00,0.8885,,,
10000016,30001379,Tunttaras,-138,85.6,114.00,0.885312,,,
10000068,30015305,Adallier,-250,40.4,34.50,0.885123,,,
10000068,30005303,Merolles,-237,38.3,33.40,0.884628,,,
10000033,30002791,Sirppala,-138,78.1,86.20,0.883227,,,
10000052,30004145,Hapala,-234,60.4,-134.00,0.882674,,,
10000030,30002519,Kronsur,-88.3,25,-3.07,0.882245,,,
10000052,30004144,Yebouz,-235,62.5,-130.00,0.882179,,,
10000001,30000008,Nirbhi,-91.6,57.3,-55.30,0.882116,,,
10000030,30002525,Meirakulf,-94.6,42.9,17.30,0.882067,,,
10000043,30002280,Zatsyaki,-196,48.8,-70.00,0.881814,,,
10000042,30003404,Agtver,-78.3,33.1,41.60,0.881107,,,
10000042,30003435,Hebisa,-78.5,38,60.20,0.880682,,,
10000064,30005024,Atlangeins,-224,30.9,35.30,0.880487,,,
10000030,30002508,Trytedald,-94.3,41.1,-10.80,0.879659,,,
10000052,30015042,Akhwa,-254,44.8,-120.00,0.879637,,,
10000068,30005314,Theruesse,-241,28.7,43.40,0.879221,,,
10000030,30002564,Javrendei,-57.3,33.4,40.40,0.878652,,,
10000016,30041407,Ichinumi,-141,85.6,113.00,0.878247,,,
10000042,30003440,Ansher,-77.8,36.1,57.20,0.877197,,,
10000030,30002572,Hurjafren,-90.5,52,39.10,0.876929,,,
10000064,30004974,Jolevier,-197,55.1,63.50,0.876884,,,
10000016,30001378,Ekura,-152,101,130.00,0.876417,,,
10000043,30003527,Chesoh,-176,80.5,-73.30,0.875495,,,
10000032,30002661,Botane,-193,51.7,26.80,0.87544,,,
10000002,30000130,Shihuken,-122,71.9,95.60,0.874585,,,
10000043,30002226,Thebeka,-168,68,-79.40,0.873772,,,
10000033,30002819,Motsu,-136,98.7,134.00,0.872794,,,
10000032,30002639,Adreland,-184,54.1,34.10,0.872502,,,
10000032,30012715,Odotte,-185,49.3,21.70,0.871647,,,
10000032,30002668,Trosquesere,-208,46,22.80,0.871457,,,
10000033,30002745,Saikanen,-126,63.6,127.00,0.871223,,,
10000068,30035305,Clacille,-250,45.9,41.40,0.870855,,,
10000064,30005015,Synchelle,-203,49.9,39.90,0.870733,,,
10000016,30021392,Kappas,-143,89.2,135.00,0.869985,,,
10000043,30002227,Rasile,-175,72.9,-82.80,0.869486,,,
10000001,30000023,Fovihi,-81.6,50.5,-51.20,0.869394,,,
10000043,30003511,Somouh,-192,57.3,-48.20,0.869185,,,
10000052,30004101,Suner,-255,39.5,-115.00,0.869107,,,
10000032,30002659,Dodixie,-188,53.2,27.70,0.868407,,,
10000042,30003402,Totkubad,-73.3,31,40.70,0.868023,,,
10000020,30001732,Zith,-217,57.7,-123.00,0.867339,,,
10000043,30003507,Teshi,-198,52.3,-45.10,0.867301,,,
10000068,30005304,Alentene,-248,40.4,37.50,0.866783,,,
10000020,30001727,Rand,-231,75.7,-128.00,0.866089,,,
10000052,30004143,Syrikos,-235,61.7,-126.00,0.864785,,,
10000001,30000006,Zaid,-84.8,52.3,-57.10,0.864229,,,
10000067,30005203,Ourapheh,-226,35.6,32.10,0.86196,,,
10000068,30005313,Ellmay,-237,28.6,45.90,0.861044,,,
10000043,30003520,Mahrokht,-161,90.4,-70.80,0.859906,,,
10000016,30001364,Funtanainen,-146,89.2,138.00,0.858976,,,
10000037,30003035,Gicodel,-177,26.2,36.50,0.858426,,,
10000001,30000001,Tanoo,-88.5,42.4,-44.50,0.858324,,,
10000043,30003488,Penirgman,-184,66.4,-63.70,0.858322,,,
10000042,30003405,Datulen,-73.4,31.6,45.00,0.858163,,,
10000064,30044971,Mesokel,-201,55,46.70,0.857655,,,
10000020,30001693,Perdan,-253,55.8,-138.00,0.857557,,,
10000042,30003400,Hjortur,-78.2,29.6,32.10,0.856914,,,
10000043,30002195,Simbeloud,-205,32,-74.30,0.856067,,,
10000043,30003547,Hamse,-153,70.1,-82.40,0.85522,,,
10000049,30003864,Jachanu,-270,35.5,-145.00,0.853958,,,
10000049,30003862,Agil,-278,57,-139.00,0.853896,,,
10000042,30003387,Jondik,-103,49,70.90,0.853142,,,
10000032,30002688,Chainelant,-178,51.6,50.80,0.852865,,,
10000016,30001404,Airkio,-168,99.4,120.00,0.851633,,,
10000037,30003041,Colcer,-189,22.9,24.90,0.851225,,,
10000032,30002658,Agrallarier,-190,52.5,23.90,0.850284,,,
10000052,30004148,Jennim,-201,52.9,-72.30,0.849574,,,
10000036,30002994,Hati,-144,78.7,-82.20,0.849035,,,
10000068,30045305,Clellinon,-256,44.6,44.70,0.848466,,,
10000032,30002636,Grinacanne,-195,56,34.40,0.848063,,,
10000032,30002712,Alillere,-163,38.5,29.20,0.847828,,,
10000033,30002818,Oichiya,-136,104,133.00,0.847664,,,
10000065,30005046,Jinkah,-248,59.3,-114.00,0.847549,,,
10000033,30002802,Kusomonmon,-147,73.5,87.00,0.8473,,,
10000042,30003390,Vilur,-81.3,54.7,63.80,0.847065,,,
10000030,30002527,Illinfrik,-93.8,45.4,29.10,0.84636,,,
10000001,30000003,Akpivem,-91.2,43.9,-56.50,0.846292,,,
10000052,30004146,Salah,-237,60,-138.00,0.846263,,,
10000067,30005198,Pakhshi,-211,40,28.30,0.845483,,,
10000020,30001691,Mimime,-251,45.2,-133.00,0.845326,,,
10000032,30002736,Ainaille,-176,46.9,20.20,0.845294,,,
10000016,30001374,Iidoken,-152,78.8,123.00,0.843816,,,
10000016,30001413,Nani,-148,77.8,130.00,0.84283,,,
10000016,30001362,Veisto,-149,84.7,125.00,0.842495,,,
10000043,30003551,Jaswelu,-156,67.4,-81.30,0.842187,,,
10000032,30002657,Aunia,-190,49.9,19.90,0.84141,,,
10000016,30001363,Sobaseki,-150,88.5,133.00,0.841025,,,
10000033,30040141,Urhinichi,-139,78.1,83.20,0.840921,,,
10000001,30000024,Kiereend,-77.5,51.1,-47.90,0.840835,,,
10000043,30003493,Youl,-180,62.2,-68.00,0.840705,,,
10000052,30004156,Asrios,-242,61.2,-133.00,0.83976,,,
10000033,30002747,Kakki,-132,75.6,133.00,0.8397,,,
10000043,30003523,Hama,-160,89.4,-90.30,0.839545,,,
10000030,30002526,Frarn,-96.4,40.7,24.40,0.838971,,,
10000042,30003406,Situner,-67.2,33.6,48.30,0.838269,,,
10000068,30005334,Tierijev,-231,38.5,41.30,0.83797,,,
10000052,30004155,Shemah,-241,61.4,-127.00,0.837563,,,
10000064,30034971,Henebene,-206,49.9,42.90,0.837329,,,
10000033,30002788,Inaro,-136,78,82.40,0.836978,,,
10000052,30004160,Zorrabed,-244,56.1,-129.00,0.836696,,,
10000042,30003434,Polstodur,-77.3,50.4,63.80,0.836097,,,
10000020,30001687,Lossa,-225,52.7,-126.00,0.83594,,,
10000037,30003025,Lirsautton,-180,32.1,16.20,0.835556,,,
10000020,30001726,Iswa,-231,78.1,-137.00,0.835361,,,
10000033,30002777,Isutaka,-121,77.1,124.00,0.834518,,,
10000032,30002709,Auberulle,-180,58.1,45.40,0.83441,,,
10000037,30003017,Harerget,-174,27,27.20,0.833758,,,
10000020,30001731,Ilas,-211,63.4,-121.00,0.833348,,,
10000016,30001395,Ylandoki,-146,98.5,148.00,0.832836,,,
10000020,30001671,Tash-Murkon Prime,-215,74.3,-120.00,0.832134,,,
10000033,30002778,Tasabeshi,-117,70.6,122.00,0.830855,,,
10000065,30005043,Nakregde,-267,32.2,-95.80,0.830615,,,
10000065,30005048,Polfaly,-252,46,-94.70,0.830126,,,
10000033,30002785,Santola,-134,88.1,107.00,0.829998,,,
10000036,30002991,Uadelah,-135,79.5,-77.50,0.829694,,,
10000042,30003455,Atonder,-57.6,47.1,47.50,0.828137,,,
10000052,30004157,Ithar,-245,61.5,-126.00,0.828088,,,
10000064,30024971,Hecarrin,-221,30.9,38.30,0.827598,,,
10000032,30002733,Pucherie,-165,41.9,20.20,0.826737,,,
10000042,30003394,Freatlidur,-107,33.3,65.00,0.826576,,,
10000043,30003492,Orkashu,-184,64.5,-68.10,0.825926,,,
10000052,30004135,Shura,-244,50.3,-122.00,0.825732,,,
10000064,30005017,Yona,-203,57,54.00,0.82519,,,
10000001,30000077,Odlib,-101,61.7,-56.00,0.824517,,,
10000032,30002660,Eglennaert,-175,53.1,29.50,0.824164,,,
10000002,30000134,Hykkota,-147,51.4,106.00,0.823653,,,
10000032,30002735,Caretyn,-173,43.3,18.10,0.823123,,,
10000068,30005322,Scolluzer,-247,35,42.30,0.822736,,,
10000030,30002533,Gerbold,-67.3,25.6,29.80,0.822566,,,
10000052,30004134,Kasi,-238,56.7,-122.00,0.822517,,,
10000020,30001658,Mani,-207,61.9,-128.00,0.822145,,,
10000064,30005016,Wysalan,-204,55,47.70,0.822095,,,
10000042,30003420,Fredagod,-89.5,62.6,52.00,0.822064,,,
10000016,30001410,Kirras,-153,78.5,127.00,0.821743,,,
10000068,30005306,Vaere,-231,19.9,27.70,0.821577,,,
10000030,30002565,Appen,-57.2,34.5,45.70,0.821329,,,
10000065,30025042,Annad,-245,59.3,-111.00,0.821071,,,
10000043,30003510,Sorzielang,-196,60.4,-47.50,0.820688,,,
10000038,30003080,Jarkkolen,-144,70.9,-76.50,0.820601,,,
10000043,30002257,Moussou,-174,69.9,-89.40,0.820544,,,
10000043,30003528,Herila,-175,77.1,-67.00,0.820387,,,
10000001,30000076,Tidacha,-96.7,65.1,-56.20,0.820099,,,
10000033,30002744,Auviken,-135,68.4,136.00,0.819648,,,
10000020,30001730,Alra,-216,58.6,-119.00,0.818921,,,
10000064,30005025,Derririntel,-223,35,39.50,0.818801,,,
10000052,30004151,Ustnia,-208,57.1,-70.50,0.818554,,,
10000032,30002632,Pettinck,-185,59.7,39.10,0.817761,,,
10000030,30002528,Balginia,-96.1,50.6,31.40,0.817657,,,
10000001,30000004,Jark,-93.7,50.6,-28.40,0.817001,,,
10000033,30002746,Oijamon,-130,66,134.00,0.816639,,,
10000016,30001376,Nourvukaiken,-148,88.9,117.00,0.816557,,,
10000030,30002509,Odatrik,-98.9,42.7,-14.00,0.816179,,,
10000067,30005201,Manarq,-228,36,26.70,0.815666,,,
10000043,30003548,Barira,-149,79.8,-90.10,0.815271,,,
10000052,30004147,Akhmoh,-244,51.3,-140.00,0.815058,,,
10000001,30000005,Sasta,-94.8,43.1,-31.90,0.814337,,,
10000033,30002784,Tintoh,-139,89.4,108.00,0.813315,,,
10000043,30002191,Toshabia,-222,35.9,-69.90,0.813027,,,
10000036,30003006,Nidebora,-176,51,-47.40,0.811852,,,
10000044,30003590,Arasare,-322,2.01,11.30,0.811738,,,
10000052,30004142,Hikansog,-235,53.7,-122.00,0.811302,,,
10000052,30004149,Elmed,-206,52.4,-76.20,0.810891,,,
10000043,30003490,Khopa,-193,61.2,-68.20,0.810458,,,
10000043,30002279,Safizon,-196,53.9,-74.30,0.8099,,,
10000038,30003083,Junsen,-140,73.6,-71.20,0.809591,,,
10000049,30003859,Neyi,-267,64.7,-147.00,0.809547,,,
10000032,30002734,Fricoure,-170,40,18.30,0.809249,,,
10000030,30002546,Isendeldik,-90.4,21.5,49.10,0.808855,,,
10000043,30003514,Yeeramoun,-192,66.7,-60.80,0.808656,,,
10000052,30004158,Telang,-240,71,-137.00,0.808553,,,
10000036,30002992,Akes,-132,78.2,-73.80,0.808523,,,
10000030,30002521,Sist,-86.5,19.6,3.70,0.808059,,,
10000033,30002776,Annaro,-124,84.7,124.00,0.80747,,,
10000049,30003865,Sazre,-277,37.3,-153.00,0.806334,,,
10000043,30003496,Nakri,-176,59.4,-69.60,0.805291,,,
10000028,30002399,Orien,-33.2,-7.53,3.26,0.804725,,,
10000020,30001670,Baviasi,-212,76.8,-123.00,0.804102,,,
10000033,30002815,Isenairos,-138,107,129.00,0.803999,,,
10000020,30001735,Uhodoh,-210,55.2,-134.00,0.803802,,,
10000033,30002752,Ahynada,-132,89,132.00,0.803548,,,
10000001,30000025,Rashy,-74.2,51,-44.30,0.803266,,,
10000020,30001705,Azhgabid,-226,76.6,-119.00,0.803226,,,
10000033,30031392,Komo,-133,98.7,131.00,0.802818,,,
10000049,30003866,Bukah,-283,55.4,-148.00,0.802709,,,
10000065,30035042,Chaktaren,-255,46,-91.70,0.80241,,,
10000042,30003438,Earled,-72.9,42.6,63.30,0.80208,,,
10000016,30001424,Haajinen,-216,118,171.00,0.801226,,,
10000001,30000052,Maspah,-84.3,40.9,-57.70,0.799901,,,
10000043,30003513,Ides,-197,64.3,-62.90,0.799627,,,
10000043,30003545,Yuhelia,-146,72.7,-87.50,0.799609,,,
10000043,30003512,Abaim,-191,62.7,-45.30,0.799274,,,
10000043,30002197,Akhragan,-223,37.3,-45.00,0.798784,,,
10000043,30003546,Maiah,-150,68.4,-85.80,0.798763,,,
10000001,30000032,Hasiari,-87.9,39.1,-26.80,0.798188,,,
10000032,30002640,Erme,-197,58.2,30.40,0.798156,,,
10000030,30002529,Gyng,-101,42.1,24.80,0.798143,,,
10000043,30002225,Harva,-165,71.2,-98.70,0.796973,,,
10000020,30001737,Hath,-210,57.9,-141.00,0.796701,,,
10000020,30001717,Adar,-216,64.6,-148.00,0.796463,,,
10000032,30002655,Vylade,-180,55.8,26.20,0.796289,,,
10000042,30003408,Evettullur,-82.9,25.1,32.10,0.794983,,,
10000052,30004088,Joramok,-223,51.5,-49.30,0.794791,,,
10000001,30000084,Asghatil,-95.6,43.4,-61.40,0.794778,,,
10000033,30002779,Ono,-114,65.1,121.00,0.794424,,,
10000043,30002229,Sitanan,-164,63.5,-72.60,0.793875,,,
10000037,30003049,Laic,-205,28,27.60,0.793173,,,
10000068,30005317,Ekuenbiron,-251,47.7,45.60,0.793052,,,
10000020,30001690,Hostni,-249,38.1,-130.00,0.791946,,,
10000042,30003436,Tollus,-72.7,48.6,63.10,0.791879,,,
10000044,30003592,Lazer,-326,5.29,11.50,0.790979,,,
10000037,30003036,Frarolle,-171,28.4,37.40,0.79046,,,
10000042,30003428,Hilfhurmur,-102,26.9,45.00,0.78964,,,
10000043,30003508,Sayartchen,-195,52,-39.20,0.789506,,,
10000064,30005019,Aporulie,-201,63.1,50.70,0.78874,,,
10000044,30003589,Vecodie,-316,2,7.52,0.788654,,,
10000020,30001716,Goni,-219,67.4,-149.00,0.787519,,,
10000032,30002671,Nausschie,-202,56.8,23.40,0.787308,,,
10000052,30004159,Lazara,-248,69,-131.00,0.787144,,,
10000020,30001706,Jinizu,-230,69.5,-115.00,0.785975,,,
10000038,30003065,Otelen,-153,82.9,-64.40,0.784819,,,
10000068,30005325,Masalle,-259,33.2,35.40,0.783203,,,
10000020,30001704,Arkoz,-220,60.4,-114.00,0.783142,,,
10000052,30004133,Hilmar,-239,51.1,-114.00,0.782406,,,
10000043,30002205,Armala,-168,63.1,-112.00,0.782163,,,
10000001,30000034,Alkez,-80.6,36.6,-22.40,0.782123,,,
10000044,30003591,Yvelet,-327,1.11,14.40,0.781364,,,
10000016,30001365,Isikemi,-148,89.2,145.00,0.780999,,,
10000016,30001408,Ruvas,-175,98.2,115.00,0.780765,,,
10000032,30002732,Mirilene,-166,37.4,19.70,0.779691,,,
10000032,30002642,Iyen-Oursta,-153,58,95.50,0.779575,,,
10000001,30000078,Jofan,-107,60.2,-55.60,0.779548,,,
10000042,30003393,Eiluvodi,-106,32.8,70.40,0.779535,,,
10000033,30002789,Kaaputenen,-138,66,75.30,0.779169,,,
10000033,30002775,Paara,-128,89,129.00,0.778535,,,
10000032,30002664,Alles,-170,30.5,21.70,0.775966,,,
10000068,30005323,Sortet,-249,26.3,39.50,0.775814,,,
10000042,30003454,Engosi,-56,53.6,45.70,0.775409,,,
10000042,30003413,Eram,-47.8,51.2,35.30,0.775374,,,
10000016,30001411,Autama,-155,80.7,131.00,0.775104,,,
10000030,30002535,Ebasgerdur,-75.8,22.3,23.20,0.774382,,,
10000001,30000057,Nikh,-85.7,66.5,-61.00,0.774198,,,
10000052,30004099,Sonama,-245,39.4,-109.00,0.773736,,,
10000065,30005044,Danyana,-246,55.1,-96.60,0.773588,,,
10000043,30003500,Sharji,-185,47.8,-41.20,0.772703,,,
10000033,30002753,Aikoro,-138,87.8,143.00,0.771435,,,
10000067,30005229,Diaderi,-248,28.1,25.30,0.771331,,,
10000016,30001394,Korama,-150,105,148.00,0.770922,,,
10000043,30002220,Aghesi,-155,72.1,-96.30,0.770818,,,
10000065,30005045,Nahyeen,-247,65.1,-109.00,0.7703,,,
10000001,30000079,Milu,-96.1,68.3,-60.00,0.769625,,,
10000016,30001375,Tsuguwa,-160,96.5,123.00,0.769323,,,
10000042,30003389,Altrinur,-88.3,63.8,64.80,0.768874,,,
10000001,30000028,Eshtah,-71.2,50.8,-46.50,0.768433,,,
10000042,30003378,Nedegulf,-71.8,57.7,13.20,0.768314,,,
10000068,30005332,Osmomonne,-234,39,45.90,0.768066,,,
10000049,30003875,Hishai,-287,50.3,-129.00,0.767855,,,
10000067,30005206,Kemerk,-236,14.8,36.60,0.76699,,,
10000032,30002673,Estene,-201,39.2,14.70,0.766312,,,
10000001,30000082,Jarizza,-99.6,48.4,-65.30,0.765431,,,
10000032,30002710,Adiere,-175,58.3,44.70,0.764983,,,
10000043,30002228,Nererut,-182,70.7,-84.80,0.764729,,,
10000042,30003453,Orduin,-52,53.2,42.90,0.761926,,,
10000032,30002706,Doussivitte,-166,41.7,40.60,0.76192,,,
10000020,30001692,Kibursha,-247,36.6,-139.00,0.761763,,,
10000020,30001738,Judra,-207,56.1,-134.00,0.7616,,,
10000068,30005312,Gisleres,-243,29.7,47.80,0.761383,,,
10000002,30000183,Nuken,-76.2,94.9,106.00,0.761306,,,
10000036,30002973,Lisudeh,-107,46.3,-35.80,0.759169,,,
10000016,30001425,Oipo,-226,120,176.00,0.759068,,,
10000043,30003517,Etav,-200,66.9,-59.80,0.758617,,,
10000068,30005318,Vay,-250,41.7,46.60,0.758522,,,
10000020,30001736,Esa,-209,54,-137.00,0.75732,,,
10000044,30003588,Yvaeroure,-312,5.8,8.05,0.757058,,,
10000068,30005326,Annelle,-262,36.9,42.30,0.757017,,,
10000030,30002566,Klir,-51.8,34.3,45.10,0.756942,,,
10000067,30005199,Tar,-222,40.6,24.90,0.756677,,,
10000042,30003396,Maturat,-106,26,48.30,0.755888,,,
10000030,30002523,Austraka,-73.4,21,13.10,0.755711,,,
10000048,30003812,Osmallanais,-262,82.7,97.00,0.755543,,,
